"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","logp","group"
"PTCH1",-0.208633894750573,5.60305160075253,-4.94919374417811,1.3845788526855e-06,6.77454652921117e-06,4.77843250906033,"PTCH1",5.16911977004064,"no_sig"
"IL17F",-0.238942150113068,5.5312967941314,-4.94648642902799,1.40219353671274e-06,6.82356624544986e-06,4.76636739774416,"IL17F",5.16598858781867,"no_sig"
"HSPA6",0.237521312120021,6.30345380864045,4.94637874084428,1.40289865630295e-06,6.82356624544986e-06,4.76588759834024,"HSPA6",5.16598858781867,"no_sig"
"PLA2G3",-0.212899937231028,5.63488419037391,-4.94452404711943,1.41509677081821e-06,6.86047304906622e-06,4.75762544005116,"PLA2G3",5.16364593742502,"no_sig"
"HLA-DPB1",-0.211464679963502,5.54965946630174,-4.94395911268423,1.41883262571929e-06,6.86047304906622e-06,4.75510931282047,"HLA-DPB1",5.16364593742502,"no_sig"
"DKK4",-0.226518065004612,5.54759754034481,-4.93716787078903,1.46449595387221e-06,7.05977697478023e-06,4.72488059107191,"DKK4",5.15120901851649,"no_sig"
"C1QBP",0.263647706473661,5.95701668391699,4.9365617646602,1.46863973562946e-06,7.05977697478023e-06,4.72218438198492,"C1QBP",5.15120901851649,"no_sig"
"TLR1",-0.153972334825911,6.0275003360176,-4.93271575164881,1.4951994247833e-06,7.16065170864186e-06,4.70508204007367,"TLR1",5.14504744967723,"no_sig"
"ANKRD28",-0.163732927956281,5.53216565392307,-4.93226594307373,1.49833588064039e-06,7.16065170864186e-06,4.70308255557385,"ANKRD28",5.14504744967723,"no_sig"
"CSF2",-0.270533842479893,5.47357310176574,-4.92713016611262,1.53460118283141e-06,7.31270824514446e-06,4.68026361958287,"CSF2",5.1359217532613,"no_sig"
"SNAI1",-0.20984520896871,5.65387921666836,-4.92612860148518,1.54177179870488e-06,7.32564403777692e-06,4.67581580054509,"SNAI1",5.13515418807184,"no_sig"
"SFTPC",-1.01162719852425,8.70726164073386,-4.92077936906212,1.5806213039256e-06,7.47354851329116e-06,4.65207307444719,"SFTPC",5.12647314198395,"down"
"ITGB2",0.523778955551112,6.42470171727859,4.92004491781647,1.58602871962416e-06,7.47354851329116e-06,4.64881483853784,"ITGB2",5.12647314198395,"up"
"HLA-DRA",0.948377184410145,7.25596011766863,4.91966792479212,1.58881128461094e-06,7.47354851329116e-06,4.64714254414319,"HLA-DRA",5.12647314198395,"up"
"LEFTY1",-0.23354214469875,5.64796946714814,-4.91936049126163,1.59108392922865e-06,7.47354851329116e-06,4.64577888466878,"LEFTY1",5.12647314198395,"no_sig"
"TICAM1",-0.162951339128527,6.06871460237664,-4.90910092586383,1.66875505355817e-06,7.81604931068272e-06,4.60031131968647,"TICAM1",5.10701270935967,"no_sig"
"ATRX",0.199622092808152,5.85821168757499,4.90813541949351,1.67625045234137e-06,7.82885154445799e-06,4.59603646296056,"ATRX",5.10630194221872,"no_sig"
"PPP3R2",-0.205469009876992,5.52993504167634,-4.90677382293179,1.68687612080478e-06,7.85615961077353e-06,4.59000905561855,"PPP3R2",5.10478970172645,"no_sig"
"CXCL16",0.358355761562938,5.86648860326665,4.90490578727814,1.70155998211636e-06,7.90215991694717e-06,4.58174201285413,"CXCL16",5.10225418569672,"no_sig"
"ATG10",-0.190202327351479,5.83556595097445,-4.90033084995629,1.7380455745414e-06,8.03475824194682e-06,4.56150639596463,"ATG10",5.09502718620219,"no_sig"
